Query_ID,Timestamp,Student_ID,Query_Text,Query_Category,Satisfaction_Score,Response_Time,Resolved_Flag
36,2025-04-01 12:00:00,1001,Website shows error 404.,Technical,4.4,27,No
37,2025-04-01 12:05:00,1082,How do I register for courses?,Academic,3.5,20,No
38,2025-04-01 12:10:00,1083,I need help with course selection.,Financial,4.3,37,Yes
39,2025-04-01 12:15:00,1025,"I forgot my password, need assistance.",Administrative,3.0,10,Yes
40,2025-04-01 12:20:00,1025,When is the semester starting?,Financial,4.2,40,Yes
41,2025-04-01 12:25:00,1090,My grade has not been updated.,Financial,4.2,32,Yes
42,2025-04-01 12:30:00,1090,How can I get a transcript?,Technical,3.6,38,Yes
43,2025-04-01 12:35:00,1010,I cannot access my student portal.,Academic,3.8,18,Yes
44,2025-04-01 12:40:00,1095,How do I register for courses?,Academic,3.9,43,No
45,2025-04-01 12:45:00,1037,How can I get a transcript?,Academic,4.0,27,No
46,2025-04-01 12:50:00,1025,I need help with course selection.,Financial,3.2,17,No
47,2025-04-01 12:55:00,1043,"I forgot my password, need assistance.",Academic,4.1,20,Yes
48,2025-04-01 13:00:00,1050,How do I register for courses?,Financial,4.0,17,Yes
49,2025-04-01 13:05:00,1045,"I forgot my password, need assistance.",Financial,3.2,16,Yes
50,2025-04-01 13:10:00,1045,How do I register for courses?,Technical,4.5,11,No
51,2025-04-01 13:15:00,1060,Is there any scholarship available?,Technical,3.5,36,Yes
52,2025-04-01 13:20:00,1061,I cannot access my student portal.,Administrative,3.9,18,No
53,2025-04-01 13:25:00,1062,Website shows error 404.,Academic,4.3,37,Yes
54,2025-04-01 13:30:00,1068,Is there any scholarship available?,Financial,3.9,23,No
55,2025-04-01 13:35:00,1031,"I forgot my password, need assistance.",Financial,3.0,28,No
56,2025-04-01 13:40:00,1098,How do I register for courses?,Financial,3.4,10,Yes
57,2025-04-01 13:45:00,1094,Website shows error 404.,Financial,3.2,17,No
58,2025-04-01 13:50:00,1028,What is the deadline for fee payment?,Technical,3.9,23,Yes
59,2025-04-01 13:55:00,1044,Is there any scholarship available?,Academic,4.7,22,Yes
60,2025-04-01 14:00:00,1035,When is the semester starting?,Financial,4.5,23,No
61,2025-04-01 14:05:00,1005,"I forgot my password, need assistance.",Technical,4.1,14,Yes
62,2025-04-01 14:10:00,1005,When is the semester starting?,Technical,4.2,37,Yes
63,2025-04-01 14:15:00,1030,My grade has not been updated.,Administrative,4.0,29,No
64,2025-04-01 14:20:00,1006,How can I get a transcript?,Administrative,4.9,17,No
65,2025-04-01 14:25:00,1009,How can I get a transcript?,Technical,4.2,34,Yes
66,2025-04-01 14:30:00,1010,Website shows error 404.,Academic,4.3,43,Yes
67,2025-04-01 14:35:00,1067,I need help with course selection.,Financial,4.9,36,Yes
68,2025-04-01 14:40:00,1030,What is the deadline for fee payment?,Financial,3.0,42,Yes
69,2025-04-01 14:45:00,1036,Is there any scholarship available?,Academic,4.3,28,Yes
70,2025-04-01 14:50:00,1079,My grade has not been updated.,Technical,3.8,10,Yes
71,2025-04-01 14:55:00,1025,What is the deadline for fee payment?,Financial,4.8,40,No
72,2025-04-01 15:00:00,1036,I cannot access my student portal.,Administrative,4.3,35,Yes
73,2025-04-01 15:05:00,1079,I need help with course selection.,Financial,4.0,39,No
74,2025-04-01 15:10:00,1065,How can I get a transcript?,Technical,4.7,24,Yes
75,2025-04-01 15:15:00,1027,How do I register for courses?,Academic,4.9,22,Yes
76,2025-04-01 15:20:00,1014,How do I register for courses?,Financial,4.1,43,Yes
77,2025-04-01 15:25:00,1026,What is the deadline for fee payment?,Financial,4.6,32,No
78,2025-04-01 15:30:00,1012,What is the deadline for fee payment?,Administrative,3.5,21,Yes
79,2025-04-01 15:35:00,1057,I need help with course selection.,Financial,3.3,20,Yes
80,2025-04-01 15:40:00,1019,I cannot access my student portal.,Administrative,3.3,19,Yes
81,2025-04-01 15:45:00,1017,My grade has not been updated.,Financial,3.3,20,Yes
82,2025-04-01 15:50:00,1059,My grade has not been updated.,Technical,3.1,27,Yes
83,2025-04-01 15:55:00,1070,"I forgot my password, need assistance.",Technical,4.8,13,No
84,2025-04-01 16:00:00,1036,I need help with course selection.,Financial,4.3,15,Yes
85,2025-04-01 16:05:00,1053,Is there any scholarship available?,Administrative,3.3,12,Yes
86,2025-04-01 16:10:00,1062,"I forgot my password, need assistance.",Administrative,3.7,11,Yes
87,2025-04-01 16:15:00,1088,I cannot access my student portal.,Academic,4.9,40,No
88,2025-04-01 16:20:00,1060,How can I get a transcript?,Financial,4.7,22,Yes
89,2025-04-01 16:25:00,1069,How do I register for courses?,Academic,3.6,34,No
90,2025-04-01 16:30:00,1064,I need help with course selection.,Financial,4.2,43,No
91,2025-04-01 16:35:00,1004,"I forgot my password, need assistance.",Technical,4.0,28,Yes
92,2025-04-01 16:40:00,1097,"I forgot my password, need assistance.",Technical,4.5,15,Yes
93,2025-04-01 16:45:00,1068,When is the semester starting?,Administrative,4.3,24,No
94,2025-04-01 16:50:00,1089,When is the semester starting?,Financial,3.2,11,Yes
95,2025-04-01 16:55:00,1007,How do I register for courses?,Administrative,3.7,33,Yes
96,2025-04-01 17:00:00,1010,I cannot access my student portal.,Financial,3.3,30,Yes
97,2025-04-01 17:05:00,1011,How do I register for courses?,Academic,3.4,42,Yes
98,2025-04-01 17:10:00,1020,When is the semester starting?,Administrative,4.4,32,No
99,2025-04-01 17:15:00,1093,Website shows error 404.,Academic,4.0,43,Yes
100,2025-04-01 17:20:00,1042,"I forgot my password, need assistance.",Financial,5.0,13,No
101,2025-04-01 17:25:00,1019,How can I get a transcript?,Administrative,3.0,22,No
102,2025-04-01 17:30:00,1021,How can I get a transcript?,Administrative,4.1,32,Yes
103,2025-04-01 17:35:00,1064,I cannot access my student portal.,Financial,4.5,27,No
104,2025-04-01 17:40:00,1083,I need help with course selection.,Academic,4.6,26,Yes
105,2025-04-01 17:45:00,1082,How can I get a transcript?,Administrative,4.9,42,No
106,2025-04-01 17:50:00,1079,When is the semester starting?,Administrative,3.1,10,Yes
107,2025-04-01 17:55:00,1019,What is the deadline for fee payment?,Technical,3.4,22,No
108,2025-04-01 18:00:00,1020,I cannot access my student portal.,Academic,4.5,16,No
109,2025-04-01 18:05:00,1031,How do I register for courses?,Technical,3.2,41,Yes
110,2025-04-01 18:10:00,1049,How can I get a transcript?,Administrative,4.0,25,Yes
111,2025-04-01 18:15:00,1039,Website shows error 404.,Administrative,4.3,11,Yes
112,2025-04-01 18:20:00,1092,Website shows error 404.,Technical,4.1,39,No
113,2025-04-01 18:25:00,1067,How do I register for courses?,Technical,4.8,31,Yes
114,2025-04-01 18:30:00,1077,How do I register for courses?,Technical,3.1,20,Yes
115,2025-04-01 18:35:00,1012,Website shows error 404.,Financial,4.6,16,Yes
116,2025-04-01 18:40:00,1044,How do I register for courses?,Administrative,4.7,42,Yes
117,2025-04-01 18:45:00,1074,What is the deadline for fee payment?,Administrative,3.2,16,Yes
118,2025-04-01 18:50:00,1073,I cannot access my student portal.,Financial,3.2,24,Yes
119,2025-04-01 18:55:00,1000,"I forgot my password, need assistance.",Technical,3.2,41,Yes
120,2025-04-01 19:00:00,1084,How do I register for courses?,Financial,4.6,11,Yes
121,2025-04-01 19:05:00,1097,My grade has not been updated.,Technical,4.3,36,Yes
122,2025-04-01 19:10:00,1022,What is the deadline for fee payment?,Technical,4.8,32,No
123,2025-04-01 19:15:00,1018,"I forgot my password, need assistance.",Technical,5.0,15,No
124,2025-04-01 19:20:00,1054,I need help with course selection.,Financial,4.0,10,No
125,2025-04-01 19:25:00,1034,How do I register for courses?,Financial,4.1,43,Yes
126,2025-04-01 19:30:00,1000,I cannot access my student portal.,Technical,4.7,11,No
127,2025-04-01 19:35:00,1072,How do I register for courses?,Technical,4.5,38,No
128,2025-04-01 19:40:00,1075,Is there any scholarship available?,Administrative,3.1,25,No
129,2025-04-01 19:45:00,1045,I cannot access my student portal.,Administrative,3.9,26,No
130,2025-04-01 19:50:00,1020,My grade has not been updated.,Academic,3.2,40,No
131,2025-04-01 19:55:00,1088,Website shows error 404.,Financial,4.8,43,No
132,2025-04-01 20:00:00,1068,How can I get a transcript?,Administrative,5.0,19,No
133,2025-04-01 20:05:00,1058,I need help with course selection.,Technical,3.4,36,Yes
134,2025-04-01 20:10:00,1064,I cannot access my student portal.,Technical,4.0,41,Yes
135,2025-04-01 20:15:00,1091,How can I get a transcript?,Technical,4.4,32,Yes
136,2025-04-01 20:20:00,1069,I cannot access my student portal.,Administrative,3.3,39,No
137,2025-04-01 20:25:00,1077,What is the deadline for fee payment?,Administrative,3.3,14,No
138,2025-04-01 20:30:00,1000,My grade has not been updated.,Financial,4.5,16,No
139,2025-04-01 20:35:00,1039,When is the semester starting?,Administrative,3.3,29,No
140,2025-04-01 20:40:00,1043,I cannot access my student portal.,Administrative,4.8,25,No
141,2025-04-01 20:45:00,1071,What is the deadline for fee payment?,Academic,4.8,43,Yes
142,2025-04-01 20:50:00,1099,I cannot access my student portal.,Administrative,4.5,22,No
143,2025-04-01 20:55:00,1077,When is the semester starting?,Academic,3.5,33,Yes
144,2025-04-01 21:00:00,1043,Is there any scholarship available?,Academic,4.5,23,No
145,2025-04-01 21:05:00,1063,I cannot access my student portal.,Administrative,4.7,27,No
146,2025-04-01 21:10:00,1077,How can I get a transcript?,Technical,4.4,34,No
147,2025-04-01 21:15:00,1028,I cannot access my student portal.,Technical,4.7,15,No
148,2025-04-01 21:20:00,1083,Is there any scholarship available?,Technical,4.3,31,No
149,2025-04-01 21:25:00,1067,How can I get a transcript?,Financial,3.0,11,Yes
150,2025-04-01 21:30:00,1069,My grade has not been updated.,Academic,3.9,15,No
151,2025-04-01 21:35:00,1002,"I forgot my password, need assistance.",Technical,4.8,27,No
152,2025-04-01 21:40:00,1016,I cannot access my student portal.,Academic,3.8,38,No
153,2025-04-01 21:45:00,1062,"I forgot my password, need assistance.",Technical,3.0,26,No
154,2025-04-01 21:50:00,1075,What is the deadline for fee payment?,Administrative,3.6,40,No
155,2025-04-01 21:55:00,1083,When is the semester starting?,Administrative,3.7,34,Yes
156,2025-04-01 22:00:00,1098,How can I get a transcript?,Academic,4.3,14,Yes
157,2025-04-01 22:05:00,1032,I cannot access my student portal.,Technical,3.9,18,Yes
158,2025-04-01 22:10:00,1022,When is the semester starting?,Financial,4.4,36,No
159,2025-04-01 22:15:00,1023,Is there any scholarship available?,Technical,4.0,20,No
160,2025-04-01 22:20:00,1057,What is the deadline for fee payment?,Technical,3.2,14,Yes
161,2025-04-01 22:25:00,1066,Is there any scholarship available?,Academic,3.3,28,No
162,2025-04-01 22:30:00,1097,"I forgot my password, need assistance.",Financial,3.6,10,No
163,2025-04-01 22:35:00,1084,Is there any scholarship available?,Academic,4.9,42,Yes
164,2025-04-01 22:40:00,1041,I cannot access my student portal.,Administrative,4.1,28,Yes
165,2025-04-01 22:45:00,1098,Is there any scholarship available?,Technical,4.8,43,No
166,2025-04-01 22:50:00,1078,I need help with course selection.,Technical,4.8,12,No
167,2025-04-01 22:55:00,1006,Website shows error 404.,Academic,3.4,11,No
168,2025-04-01 23:00:00,1094,"I forgot my password, need assistance.",Academic,4.3,10,No
169,2025-04-01 23:05:00,1023,Website shows error 404.,Administrative,4.3,39,Yes
170,2025-04-01 23:10:00,1042,"I forgot my password, need assistance.",Administrative,4.3,25,No
171,2025-04-01 23:15:00,1004,I need help with course selection.,Administrative,4.9,34,Yes
172,2025-04-01 23:20:00,1057,"I forgot my password, need assistance.",Technical,4.4,27,No
173,2025-04-01 23:25:00,1010,Website shows error 404.,Administrative,3.6,35,Yes
174,2025-04-01 23:30:00,1071,What is the deadline for fee payment?,Academic,3.8,26,No
175,2025-04-01 23:35:00,1082,When is the semester starting?,Technical,3.3,15,No
176,2025-04-01 23:40:00,1085,Is there any scholarship available?,Administrative,4.1,10,Yes
177,2025-04-01 23:45:00,1038,I cannot access my student portal.,Technical,4.6,15,No
178,2025-04-01 23:50:00,1037,Website shows error 404.,Financial,3.2,23,No
179,2025-04-01 23:55:00,1080,Is there any scholarship available?,Technical,4.8,17,No
180,2025-04-02 00:00:00,1037,When is the semester starting?,Financial,4.1,36,Yes
181,2025-04-02 00:05:00,1025,What is the deadline for fee payment?,Academic,3.6,10,No
182,2025-04-02 00:10:00,1039,"I forgot my password, need assistance.",Academic,3.0,12,Yes
183,2025-04-02 00:15:00,1094,"I forgot my password, need assistance.",Administrative,3.1,25,Yes
184,2025-04-02 00:20:00,1092,My grade has not been updated.,Academic,3.1,26,Yes
185,2025-04-02 00:25:00,1003,I need help with course selection.,Academic,4.8,37,No
186,2025-04-02 00:30:00,1089,How can I get a transcript?,Academic,4.5,27,No
187,2025-04-02 00:35:00,1046,What is the deadline for fee payment?,Technical,3.0,37,No
188,2025-04-02 00:40:00,1062,My grade has not been updated.,Technical,4.0,23,Yes
189,2025-04-02 00:45:00,1091,Is there any scholarship available?,Academic,3.3,16,Yes
190,2025-04-02 00:50:00,1058,Is there any scholarship available?,Technical,3.7,28,No
191,2025-04-02 00:55:00,1058,Website shows error 404.,Technical,4.0,27,Yes
192,2025-04-02 01:00:00,1008,I need help with course selection.,Financial,4.8,14,Yes
193,2025-04-02 01:05:00,1044,"I forgot my password, need assistance.",Academic,4.3,37,Yes
194,2025-04-02 01:10:00,1088,I need help with course selection.,Financial,4.0,12,Yes
195,2025-04-02 01:15:00,1044,I cannot access my student portal.,Technical,3.2,29,No
196,2025-04-02 01:20:00,1068,When is the semester starting?,Technical,3.8,19,No
197,2025-04-02 01:25:00,1084,How do I register for courses?,Administrative,4.7,28,Yes
198,2025-04-02 01:30:00,1090,What is the deadline for fee payment?,Administrative,3.2,25,No
199,2025-04-02 01:35:00,1032,"I forgot my password, need assistance.",Academic,4.8,22,Yes
200,2025-04-02 01:40:00,1015,What is the deadline for fee payment?,Administrative,4.7,19,No
201,2025-04-02 01:45:00,1062,When is the semester starting?,Administrative,3.5,27,No
202,2025-04-02 01:50:00,1061,I need help with course selection.,Financial,4.7,17,Yes
203,2025-04-02 01:55:00,1035,I need help with course selection.,Academic,3.2,36,Yes
204,2025-04-02 02:00:00,1034,I cannot access my student portal.,Technical,4.8,37,No
205,2025-04-02 02:05:00,1066,"I forgot my password, need assistance.",Financial,3.0,33,No
206,2025-04-02 02:10:00,1075,My grade has not been updated.,Academic,3.1,18,No
207,2025-04-02 02:15:00,1030,When is the semester starting?,Technical,4.3,29,Yes
208,2025-04-02 02:20:00,1051,My grade has not been updated.,Technical,3.6,22,No
209,2025-04-02 02:25:00,1053,My grade has not been updated.,Academic,4.1,15,No
210,2025-04-02 02:30:00,1081,How can I get a transcript?,Financial,3.0,14,Yes
211,2025-04-02 02:35:00,1040,"I forgot my password, need assistance.",Administrative,4.2,42,No
212,2025-04-02 02:40:00,1038,Is there any scholarship available?,Academic,4.2,29,Yes
213,2025-04-02 02:45:00,1071,How can I get a transcript?,Technical,4.5,23,No
214,2025-04-02 02:50:00,1035,My grade has not been updated.,Administrative,5.0,31,Yes
215,2025-04-02 02:55:00,1035,I need help with course selection.,Administrative,3.3,33,No
216,2025-04-02 03:00:00,1087,When is the semester starting?,Financial,3.1,32,Yes
217,2025-04-02 03:05:00,1075,When is the semester starting?,Financial,3.5,34,Yes
218,2025-04-02 03:10:00,1069,"I forgot my password, need assistance.",Academic,4.0,32,Yes
219,2025-04-02 03:15:00,1029,What is the deadline for fee payment?,Academic,3.2,31,Yes
220,2025-04-02 03:20:00,1046,Website shows error 404.,Financial,3.7,27,No
221,2025-04-02 03:25:00,1083,How can I get a transcript?,Financial,4.3,32,No
222,2025-04-02 03:30:00,1014,My grade has not been updated.,Administrative,3.3,10,Yes
223,2025-04-02 03:35:00,1072,My grade has not been updated.,Administrative,4.2,20,No
224,2025-04-02 03:40:00,1025,What is the deadline for fee payment?,Financial,4.2,32,Yes
225,2025-04-02 03:45:00,1092,How do I register for courses?,Academic,3.4,27,No
226,2025-04-02 03:50:00,1048,I need help with course selection.,Academic,4.3,10,Yes
227,2025-04-02 03:55:00,1043,How can I get a transcript?,Financial,4.9,34,No
228,2025-04-02 04:00:00,1025,I need help with course selection.,Financial,4.8,11,No
229,2025-04-02 04:05:00,1046,How can I get a transcript?,Technical,3.1,44,Yes
230,2025-04-02 04:10:00,1000,Is there any scholarship available?,Technical,3.7,12,Yes
231,2025-04-02 04:15:00,1079,How do I register for courses?,Financial,3.2,33,No
232,2025-04-02 04:20:00,1035,How can I get a transcript?,Technical,3.9,38,No
233,2025-04-02 04:25:00,1035,What is the deadline for fee payment?,Financial,4.7,18,No
234,2025-04-02 04:30:00,1044,"I forgot my password, need assistance.",Administrative,4.1,21,No
235,2025-04-02 04:35:00,1040,What is the deadline for fee payment?,Financial,5.0,35,Yes
236,2025-04-02 04:40:00,1005,Website shows error 404.,Financial,3.6,28,Yes
237,2025-04-02 04:45:00,1088,What is the deadline for fee payment?,Administrative,4.5,20,No
238,2025-04-02 04:50:00,1021,"I forgot my password, need assistance.",Technical,4.6,20,No
239,2025-04-02 04:55:00,1092,How can I get a transcript?,Financial,4.6,36,No
240,2025-04-02 05:00:00,1092,Website shows error 404.,Financial,3.3,17,No
241,2025-04-02 05:05:00,1086,What is the deadline for fee payment?,Financial,3.2,25,No
242,2025-04-02 05:10:00,1065,I need help with course selection.,Technical,3.4,20,Yes
243,2025-04-02 05:15:00,1054,I need help with course selection.,Technical,4.6,29,Yes
244,2025-04-02 05:20:00,1092,I need help with course selection.,Technical,3.6,37,Yes
245,2025-04-02 05:25:00,1036,My grade has not been updated.,Technical,4.1,33,No
246,2025-04-02 05:30:00,1009,I need help with course selection.,Financial,4.2,41,No
247,2025-04-02 05:35:00,1088,How can I get a transcript?,Academic,4.2,11,No
248,2025-04-02 05:40:00,1074,When is the semester starting?,Academic,4.3,12,Yes
249,2025-04-02 05:45:00,1040,Is there any scholarship available?,Academic,4.2,12,Yes
250,2025-04-02 05:50:00,1051,How do I register for courses?,Administrative,3.5,41,Yes
251,2025-04-02 05:55:00,1009,My grade has not been updated.,Administrative,4.7,41,No
252,2025-04-02 06:00:00,1075,Website shows error 404.,Technical,3.5,22,No
253,2025-04-02 06:05:00,1066,Website shows error 404.,Administrative,4.5,36,No
254,2025-04-02 06:10:00,1017,Website shows error 404.,Financial,4.5,22,Yes
255,2025-04-02 06:15:00,1062,I cannot access my student portal.,Administrative,4.7,10,No
256,2025-04-02 06:20:00,1021,I need help with course selection.,Academic,5.0,43,No
257,2025-04-02 06:25:00,1077,How do I register for courses?,Administrative,4.8,43,Yes
258,2025-04-02 06:30:00,1028,"I forgot my password, need assistance.",Academic,4.3,13,No
259,2025-04-02 06:35:00,1091,How can I get a transcript?,Administrative,4.1,22,No
260,2025-04-02 06:40:00,1015,"I forgot my password, need assistance.",Academic,4.8,41,Yes
261,2025-04-02 06:45:00,1013,Website shows error 404.,Technical,3.6,21,No
262,2025-04-02 06:50:00,1084,When is the semester starting?,Academic,3.7,33,No
263,2025-04-02 06:55:00,1020,My grade has not been updated.,Technical,3.2,38,No
264,2025-04-02 07:00:00,1069,I need help with course selection.,Financial,3.4,42,No
265,2025-04-02 07:05:00,1045,How can I get a transcript?,Technical,3.9,14,Yes
266,2025-04-02 07:10:00,1049,"I forgot my password, need assistance.",Administrative,3.0,35,Yes
267,2025-04-02 07:15:00,1069,"I forgot my password, need assistance.",Financial,4.2,12,No
268,2025-04-02 07:20:00,1099,"I forgot my password, need assistance.",Technical,4.7,27,Yes
269,2025-04-02 07:25:00,1029,How do I register for courses?,Technical,5.0,23,Yes
270,2025-04-02 07:30:00,1051,What is the deadline for fee payment?,Administrative,4.2,19,No
271,2025-04-02 07:35:00,1096,Website shows error 404.,Administrative,3.9,13,No
272,2025-04-02 07:40:00,1089,How do I register for courses?,Technical,3.2,38,No
273,2025-04-02 07:45:00,1079,I need help with course selection.,Financial,3.6,12,No
274,2025-04-02 07:50:00,1023,My grade has not been updated.,Technical,4.4,26,Yes
275,2025-04-02 07:55:00,1036,How do I register for courses?,Technical,4.4,27,Yes
276,2025-04-02 08:00:00,1058,Is there any scholarship available?,Academic,4.9,17,Yes
277,2025-04-02 08:05:00,1081,When is the semester starting?,Administrative,4.6,16,Yes
278,2025-04-02 08:10:00,1074,"I forgot my password, need assistance.",Technical,4.3,31,No
279,2025-04-02 08:15:00,1012,When is the semester starting?,Academic,4.7,24,Yes
280,2025-04-02 08:20:00,1095,Is there any scholarship available?,Administrative,3.2,41,No
281,2025-04-02 08:25:00,1095,Is there any scholarship available?,Technical,3.7,44,No
282,2025-04-02 08:30:00,1052,Is there any scholarship available?,Financial,4.2,30,No
283,2025-04-02 08:35:00,1018,Website shows error 404.,Technical,4.7,15,Yes
284,2025-04-02 08:40:00,1033,I cannot access my student portal.,Financial,4.1,32,Yes
285,2025-04-02 08:45:00,1057,How can I get a transcript?,Technical,4.0,25,Yes
286,2025-04-02 08:50:00,1099,My grade has not been updated.,Financial,3.3,36,No
287,2025-04-02 08:55:00,1003,What is the deadline for fee payment?,Technical,4.0,39,No
288,2025-04-02 09:00:00,1069,What is the deadline for fee payment?,Technical,3.4,29,No
289,2025-04-02 09:05:00,1050,My grade has not been updated.,Academic,3.7,40,Yes
290,2025-04-02 09:10:00,1083,I need help with course selection.,Academic,3.2,22,No
291,2025-04-02 09:15:00,1083,What is the deadline for fee payment?,Administrative,4.6,14,Yes
292,2025-04-02 09:20:00,1046,What is the deadline for fee payment?,Administrative,3.9,18,Yes
293,2025-04-02 09:25:00,1073,Website shows error 404.,Technical,4.2,10,Yes
294,2025-04-02 09:30:00,1072,I cannot access my student portal.,Administrative,3.5,28,Yes
295,2025-04-02 09:35:00,1086,What is the deadline for fee payment?,Academic,3.9,25,Yes
296,2025-04-02 09:40:00,1009,How do I register for courses?,Administrative,3.4,43,Yes
297,2025-04-02 09:45:00,1057,I cannot access my student portal.,Administrative,4.9,14,No
298,2025-04-02 09:50:00,1031,My grade has not been updated.,Administrative,4.4,19,Yes
299,2025-04-02 09:55:00,1045,Website shows error 404.,Academic,4.0,43,Yes
300,2025-04-02 10:00:00,1031,My grade has not been updated.,Technical,5.0,27,No
301,2025-04-02 10:05:00,1044,I need help with course selection.,Academic,3.5,38,Yes
302,2025-04-02 10:10:00,1049,How can I get a transcript?,Academic,4.4,32,Yes
303,2025-04-02 10:15:00,1016,What is the deadline for fee payment?,Academic,4.9,25,No
304,2025-04-02 10:20:00,1023,My grade has not been updated.,Administrative,3.1,32,Yes
305,2025-04-02 10:25:00,1032,I need help with course selection.,Technical,3.1,23,No
306,2025-04-02 10:30:00,1078,My grade has not been updated.,Financial,4.1,30,Yes
307,2025-04-02 10:35:00,1097,My grade has not been updated.,Technical,3.5,14,Yes
308,2025-04-02 10:40:00,1010,Website shows error 404.,Academic,3.3,40,Yes
309,2025-04-02 10:45:00,1080,How can I get a transcript?,Administrative,4.3,33,Yes
310,2025-04-02 10:50:00,1011,My grade has not been updated.,Administrative,3.6,44,No
311,2025-04-02 10:55:00,1058,"I forgot my password, need assistance.",Financial,4.0,40,No
312,2025-04-02 11:00:00,1038,How can I get a transcript?,Academic,3.3,13,Yes
313,2025-04-02 11:05:00,1016,How do I register for courses?,Administrative,3.5,22,No
314,2025-04-02 11:10:00,1094,I cannot access my student portal.,Academic,4.6,12,No
315,2025-04-02 11:15:00,1046,Website shows error 404.,Financial,4.6,18,No
316,2025-04-02 11:20:00,1013,Website shows error 404.,Financial,3.1,20,No
317,2025-04-02 11:25:00,1050,I need help with course selection.,Financial,3.8,12,No
318,2025-04-02 11:30:00,1039,How can I get a transcript?,Administrative,4.6,31,Yes
319,2025-04-02 11:35:00,1076,How do I register for courses?,Academic,3.2,17,No
320,2025-04-02 11:40:00,1080,I cannot access my student portal.,Administrative,4.6,40,No
321,2025-04-02 11:45:00,1066,What is the deadline for fee payment?,Academic,3.7,28,No
322,2025-04-02 11:50:00,1051,My grade has not been updated.,Financial,4.7,38,Yes
323,2025-04-02 11:55:00,1098,My grade has not been updated.,Administrative,3.4,17,Yes
324,2025-04-02 12:00:00,1014,What is the deadline for fee payment?,Financial,3.7,13,No
325,2025-04-02 12:05:00,1030,Is there any scholarship available?,Financial,3.2,40,Yes
326,2025-04-02 12:10:00,1067,Is there any scholarship available?,Academic,4.3,20,No
327,2025-04-02 12:15:00,1084,Website shows error 404.,Administrative,3.9,13,Yes
328,2025-04-02 12:20:00,1011,Is there any scholarship available?,Technical,4.2,43,Yes
329,2025-04-02 12:25:00,1026,Website shows error 404.,Academic,4.8,38,Yes
330,2025-04-02 12:30:00,1000,How can I get a transcript?,Financial,4.0,10,No
331,2025-04-02 12:35:00,1075,When is the semester starting?,Administrative,4.9,35,No
332,2025-04-02 12:40:00,1014,What is the deadline for fee payment?,Administrative,3.6,27,No
